Run,Experiment,Liquid,Cup,Temperature
1,1,AlmondMilk,CeramicMug,111.6
2,32,2pMilk,PlasticCup,132.8
3,42,Water,CeramicMug,121.8
4,3,AlmondMilk,CeramicMug,114.1
5,52,Water,PlasticCup,126.9
6,45,Water,GlassCup,127.4
7,14,AlmondMilk,PlasticCup,110.7
8,11,AlmondMilk,GlassCup,111.8
9,47,Water,GlassCup,122
10,41,Water,CeramicMug,121.1
11,5,AlmondMilk,CeramicMug,113.2
12,50,Water,PlasticCup,124
13,13,AlmondMilk,PlasticCup,116.8
14,17,AlmondMilk,PlasticCup,104
15,4,AlmondMilk,CeramicMug,114.7
16,39,Water,CeramicMug,122.2
17,30,2pMilk,GlassCup,117.9
18,28,2pMilk,GlassCup,119.6
19,48,Water,GlassCup,126.6
20,53,Water,PlasticCup,124.2
21,9,AlmondMilk,GlassCup,119.3
22,12,AlmondMilk,GlassCup,109.8
23,25,2pMilk,GlassCup,114.1
24,26,2pMilk,GlassCup,122.9
25,35,2pMilk,PlasticCup,115.5
26,2,AlmondMilk,CeramicMug,103.2
27,36,2pMilk,PlasticCup,114.3
28,6,AlmondMilk,CeramicMug,119.8
29,15,AlmondMilk,PlasticCup,129.7
30,40,Water,CeramicMug,119.7
31,46,Water,GlassCup,118.7
32,49,Water,PlasticCup,130.3
33,51,Water,PlasticCup,125.3
34,24,2pMilk,CeramicMug,119.2
35,18,AlmondMilk,PlasticCup,104.2
36,44,Water,GlassCup,119.9
37,38,Water,CeramicMug,116.3
38,29,2pMilk,GlassCup,119.9
39,23,2pMilk,CeramicMug,108
40,43,Water,GlassCup,123.3
41,16,AlmondMilk,PlasticCup,112.1
42,7,AlmondMilk,GlassCup,113.5
43,34,2pMilk,PlasticCup,115.2
44,19,2pMilk,CeramicMug,114.6
45,21,2pMilk,CeramicMug,120.5
46,27,2pMilk,GlassCup,120.2
47,31,2pMilk,PlasticCup,117.4
48,54,Water,PlasticCup,118.2
49,33,2pMilk,PlasticCup,115.5
50,20,2pMilk,CeramicMug,111.2
51,8,AlmondMilk,GlassCup,111.2
52,10,AlmondMilk,GlassCup,122
53,22,2pMilk,CeramicMug,120.4
54,37,Water,CeramicMug,115.7
